"x","R-MRD","R-MUD","R-UCB","R-Haplo-CY","R-Haplo-nonCY","M-MRD","M-MUD","M-UCB","M-Haplo-CY","M-Haplo-nonCY"
0,0.999996876245468,0.999996876245468,0.999996876245468,0.999996876245468,0.999996876245468,0.999996876245468,0.999996876245468,0.999996876245468,0.999996876245468,0.999996876245468
0.2,0.999894741685112,0.999880128624183,0.999897418512504,0.999866845378552,0.998255988096664,0.999978311329315,0.999978311329315,0.999830858590322,0.999933629876487,0.992776008613216
0.366666666666667,0.999698801744019,0.99942871953637,0.998760555142347,0.998952379010618,0.993449168696658,0.999953071987778,0.999872615180602,0.999746994644736,0.999573833899057,0.990991061590737
0.566666666666667,0.998516996945223,0.997105167514917,0.993129073305087,0.996891086572306,0.990757380383948,0.999161063821418,0.999241488860601,0.99708753158411,0.998009759353361,0.988881570649257
0.766666666666667,0.997748730730084,0.995827756966565,0.991465157067209,0.995696004308994,0.988973588229875,0.998980478020799,0.999098093804624,0.995001343235553,0.995121111283712,0.982812201187108
0.933333333333333,0.994952904147711,0.992806996702814,0.985855735037165,0.992784972779089,0.984247327836433,0.99685555039787,0.993368032934757,0.99060479757241,0.992322347125097,0.979830476819196
1.13333333333333,0.993703134733313,0.990721498574412,0.982585688082386,0.991194551723275,0.981806070490037,0.996566526607601,0.993133563734231,0.983783098680786,0.990231592924261,0.97790717603851
1.33333333333333,0.992626764603481,0.989979439610247,0.981487853536016,0.990401907373886,0.980744866540781,0.995229693526781,0.992812514136239,0.982428525117193,0.989435120384246,0.9771633125082
1.5,0.988953233205607,0.984574893314715,0.970855567735104,0.985395012114612,0.973917235685845,0.99396407021681,0.989974749576845,0.967197709655791,0.984244345499344,0.972000796216968
1.7,0.988269174155261,0.983007168045912,0.969648254136194,0.984243638744793,0.97128504206827,0.992919552169459,0.988822843379306,0.965932308903541,0.983112950478542,0.970769853097481
1.9,0.987866440114966,0.982076301347051,0.968627104196372,0.983484595341471,0.966113618323365,0.992840751072674,0.988575422311486,0.963609900106002,0.982286571104002,0.968143728322508
2.06666666666667,0.986013647283191,0.979234435789075,0.965550584259117,0.981197047895494,0.956376090074711,0.991910414871566,0.986486695972677,0.956452258976521,0.979399430297641,0.964853388673381
2.26666666666667,0.983644054905815,0.976445452964243,0.958047662327632,0.978161191387227,0.951430463330206,0.991365705340702,0.985720523897303,0.95095644336941,0.976866088455468,0.961288691522387
2.46666666666667,0.982263932959841,0.97329020667166,0.955838011371967,0.976370695683693,0.949003204811214,0.990698459695394,0.985174080695716,0.947079851283451,0.975365028830783,0.959466328907374
2.63333333333333,0.978828766685414,0.967110579836711,0.951094090941303,0.972460066712956,0.944518222665068,0.987896902938747,0.980154757235282,0.937779765778272,0.969586564866713,0.955254978481861
2.83333333333333,0.97689358468436,0.964059367797953,0.947401240354859,0.969001926442463,0.938970824362427,0.987226889746364,0.979519099146268,0.930339739277907,0.959301122792465,0.950614967438194
3.03333333333333,0.976495447388176,0.963420437222063,0.946254143797719,0.96829233897566,0.935260207474761,0.987091578820453,0.979415993622471,0.928209244434862,0.958340239394848,0.948861886219411
3.2,0.974831908801803,0.960822071215119,0.942672257668654,0.964890758484229,0.919776948698777,0.985760838859096,0.978157755938491,0.924488086357032,0.955097067381071,0.912505090535888
3.4,0.973686321922658,0.959074810906,0.940001050364199,0.962665095621012,0.915087761029191,0.985265655563036,0.97729686139473,0.918356313038323,0.952271934036578,0.909852072018839
3.6,0.971196906001339,0.956395684617062,0.936621431841156,0.960392069188815,0.910455037164786,0.984287254362258,0.975598969960242,0.915070502701522,0.950238506024147,0.90693587666492
3.76666666666667,0.970751372663348,0.955755281028476,0.933527345144798,0.959670891973093,0.909267004500227,0.984223717026448,0.975372909154909,0.914950481712683,0.949692824247761,0.905595559612933
3.96666666666667,0.969210979672389,0.953188914693044,0.930376847524951,0.956215182361296,0.903066855531057,0.983354770862654,0.974256111966185,0.910602901704714,0.947048224150987,0.87589573237611
4.13333333333333,0.96841058278662,0.949535338663144,0.928866636912226,0.952631876272048,0.885448016145258,0.982149576520871,0.97381827896715,0.909225914742452,0.945473638210086,0.861306184733811
4.33333333333333,0.967705572217819,0.948596476090127,0.927474823976581,0.951685263058476,0.883541770617218,0.981750669302331,0.972916079139652,0.90687372546928,0.944435816367902,0.856738803788324
4.53333333333333,0.967160558652119,0.947251161442357,0.92650297587525,0.950323600120452,0.882079530322417,0.98057848648244,0.972560863729318,0.9050154873909,0.943485092925643,0.85578958546133
4.7,0.964607612558882,0.944407957203269,0.923366763089263,0.947524102640165,0.879843569459012,0.977581723769656,0.966169644721312,0.900357617908282,0.940481103078347,0.854065954149106
4.9,0.963682727039363,0.942012809448592,0.921116046625504,0.945676496604409,0.870918535389956,0.977350802283091,0.965779257234304,0.896620648467315,0.938167491628188,0.835501990931616
5.1,0.962888188433388,0.940395702160402,0.920342482381593,0.944686113041745,0.869530609174068,0.977017280661654,0.965472027030964,0.895099764620268,0.937144215418024,0.832621825801732
5.26666666666667,0.961648541812875,0.938156950403111,0.915039185228146,0.942511176211439,0.862588466230033,0.976507144163423,0.964035844359406,0.893827546331807,0.935412508960161,0.829892123395198
5.46666666666667,0.959353468807943,0.934662057911394,0.913111071020854,0.938496143471076,0.856005914843383,0.971576471408058,0.961462126835456,0.891692613587308,0.932577601181761,0.82776219565748
5.66666666666667,0.95713935262704,0.931243022047234,0.910722427835022,0.936040603325428,0.853999780159895,0.967102778434301,0.957786041596477,0.888942628270156,0.930548685353709,0.826095481822811
